EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
AEW-1098,2025-12-31,AEW,AEW Dynamite,AEW Dynamite #326 - New Year's Smash 2025,Televised,"Ralston, Nebraska, USA",Ralston,Nebraska,USA
AEW-1097,2025-12-27,AEW,AEW Worlds End,AEW Worlds End 2025,PLE/PPV,"Hoffman Estates, Illinois, USA",Hoffman Estates,Illinois,USA
AEW-1096,2025-12-27,AEW,AEW Worlds End  Zero Hour,AEW Worlds End 2025 - Zero Hour,Televised,"Hoffman Estates, Illinois, USA",Hoffman Estates,Illinois,USA
AEW-1095,2025-12-21,AEW,AEW Collision,AEW Collision #125 - Christmas Collision 2025,Televised,"New York City, New York, USA",New York City,New York,USA
AEW-1094,2025-12-20,AEW,AEW Dynamite,AEW Dynamite #325 - Dynamite On 34th Street 2025,Televised,"New York City, New York, USA",New York City,New York,USA
AEW-1093,2025-12-17,AEW,AEW Dynamite,AEW Dynamite #324 - Holiday Bash 2025,Televised,"Manchester, England, UK",Manchester,England,UK
AEW-1092,2025-12-17,AEW,AEW Collision,AEW Collision #124 - Holiday Bash 2025,Televised,"Manchester, England, UK",Manchester,England,UK
AEW-1091,2025-12-13,AEW,AEW Collision,AEW Collision #123 - Winter Is Coming 2025,Televised,"Cardiff, Wales, UK",Cardiff,Wales,UK
AEW-1090,2025-12-13,AEW,AEW Dark,AEW Dark - Stocking Stuffer,Televised,"Cardiff, Wales, UK",Cardiff,Wales,UK
AEW-1089,2025-12-10,AEW,AEW Dynamite,AEW Dynamite #323 - Winter Is Coming 2025,Televised,"College Park, Georgia, USA",College Park,Georgia,USA
AEW-1088,2025-12-06,AEW,AEW Collision,AEW Collision #122,Televised,"Columbus, Ohio, USA",Columbus,Ohio,USA
AEW-1087,2025-12-03,AEW,AEW Dynamite,AEW Dynamite #322,Televised,"Fishers, Indiana, USA",Fishers,Indiana,USA
AEW-1086,2025-11-26,AEW,AEW Dynamite,AEW Dynamite #321 - Thanksgiving Eve 2025,Televised,"Nashville, Tennessee, USA",Nashville,Tennessee,USA
