EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
NJPW-2164,2025-12-22,NJPW,NJPW Road To Tokyo Dome,NJPW Road To Tokyo Dome 2025,Non-Televised,"Tokyo, Japan",Tokyo,Japan,Japan
NJPW-2163,2025-12-21,NJPW,NJPW Road To Tokyo Dome,NJPW Road To Tokyo Dome 2025,Non-Televised,"Utsunomiya, Tochigi, Japan",Utsunomiya,Tochigi,Japan
NJPW-2162,2025-12-19,NJPW,NJPW Road To Tokyo Dome,NJPW Road To Tokyo Dome 2025,Non-Televised,"Takasaki, Gunma, Japan",Takasaki,Gunma,Japan
NJPW-2161,2025-12-14,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Mashiki, Kumamoto, Japan",Mashiki,Kumamoto,Japan
NJPW-2160,2025-12-12,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Satsumasendai, Kagoshima, Japan",Satsumasendai,Kagoshima,Japan
NJPW-2159,2025-12-10,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Nagasaki, Japan",Nagasaki,Japan,Japan
NJPW-2158,2025-12-09,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Iizuka, Fukuoka, Japan",Iizuka,Fukuoka,Japan
NJPW-2157,2025-12-08,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Hiroshima, Japan",Hiroshima,Japan,Japan
NJPW-2156,2025-12-07,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Kihoku, Ehime, Japan",Kihoku,Ehime,Japan
NJPW-2155,2025-12-05,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Osaka, Japan",Osaka,Japan,Japan
NJPW-2154,2025-12-03,NJPW,NJPW World Tag League,NJPW World Tag League 2025,Televised,"Shizuoka, Japan",Shizuoka,Japan,Japan
