MatchID,Date,Promotion,Match,CageMatchRating,CageMatchRatingVotes,WONStarRating,Opponent1,Opponent2
N7426,2025-12-22,NJPW,"Hartley Jackson, Ryohei Oiwa & Zack Sabre Jr. vs. OSKAR, Yota Tsuji & Yuto-Ice",,,,"Hartley Jackson, Ryohei Oiwa & Zack Sabre Jr.","OSKAR, Yota Tsuji & Yuto-Ice"
N7421,2025-12-22,NJPW,Hiroshi Tanahashi vs. Kosei Fujita,6.95,60,3.75,Hiroshi Tanahashi,Kosei Fujita
N7422,2025-12-22,NJPW,Daiki Nagai & Taiji Ishimori vs. DOUKI & SHO vs. El Desperado & Kuukai,5.8,9,,Daiki Nagai & Taiji Ishimori,"DOUKI & SHO, El Desperado & Kuukai"
N7425,2025-12-22,NJPW,El Phantasmo vs. Ryusuke Taguchi,5.2,24,,El Phantasmo,Ryusuke Taguchi
N7424,2025-12-22,NJPW,"Hirooki Goto, Oleg Boltin & YOSHI-HASHI vs. Satoshi Kojima, Taichi & Tiger Mask",6.27,10,,"Hirooki Goto, Oleg Boltin & YOSHI-HASHI","Satoshi Kojima, Taichi & Tiger Mask"
N7423,2025-12-22,NJPW,"EVIL, Ren Narita, SANADA, Yoshinobu Kanemaru & Yujiro Takahashi vs. Master Wato, Shota Umino, Toru Yano, YOH & Yuya Uemura",5.3,9,,"EVIL, Ren Narita, SANADA, Yoshinobu Kanemaru & Yujiro Takahashi","Master Wato, Shota Umino, Toru Yano, YOH & Yuya Uemura"
N7420,2025-12-21,NJPW,Katsuya Murashima & Zane Jay vs. Togi Makabe & Tomoaki Honma,,,,Katsuya Murashima & Zane Jay,Togi Makabe & Tomoaki Honma
N7419,2025-12-21,NJPW,"Masatora Yasuda, Satoshi Kojima, Taichi & Tiger Mask vs. Master Wato, Shoma Kato, Toru Yano & YOH",,,,"Masatora Yasuda, Satoshi Kojima, Taichi & Tiger Mask","Master Wato, Shoma Kato, Toru Yano & YOH"
N7418,2025-12-21,NJPW,"EVIL, Ren Narita, SANADA, Yoshinobu Kanemaru & Yujiro Takahashi vs. Hirooki Goto, Oleg Boltin, Shota Umino, YOSHI-HASHI & Yuya Uemura",,,,"EVIL, Ren Narita, SANADA, Yoshinobu Kanemaru & Yujiro Takahashi","Hirooki Goto, Oleg Boltin, Shota Umino, YOSHI-HASHI & Yuya Uemura"
N7417,2025-12-21,NJPW,"Callum Newman, Great-O-Khan & Jakob Austin Young vs. Daiki Nagai, Hiromu Takahashi & Shingo Takagi",,,,"Callum Newman, Great-O-Khan & Jakob Austin Young","Daiki Nagai, Hiromu Takahashi & Shingo Takagi"
N7416,2025-12-21,NJPW,El Desperado vs. Hiroshi Tanahashi,7.21,61,,El Desperado,Hiroshi Tanahashi
N7415,2025-12-21,NJPW,"Hartley Jackson, Kosei Fujita, Ryohei Oiwa & Zack Sabre Jr. vs. OSKAR, Taiji Ishimori, Yota Tsuji & Yuto-Ice",6.88,7,,"Hartley Jackson, Kosei Fujita, Ryohei Oiwa & Zack Sabre Jr.","OSKAR, Taiji Ishimori, Yota Tsuji & Yuto-Ice"
N7409,2025-12-19,NJPW,"Masatora Yasuda, Togi Makabe & Tomoaki Honma vs. Ryusuke Taguchi, Tiger Mask & Zane Jay",,,,"Masatora Yasuda, Togi Makabe & Tomoaki Honma","Ryusuke Taguchi, Tiger Mask & Zane Jay"
N7410,2025-12-19,NJPW,"Callum Newman, Great-O-Khan & Jakob Austin Young vs. Gedo, Shingo Takagi & Yota Tsuji",,,,"Callum Newman, Great-O-Khan & Jakob Austin Young","Gedo, Shingo Takagi & Yota Tsuji"
N7413,2025-12-19,NJPW,"Daiki Nagai, OSKAR, Taiji Ishimori & Yuto-Ice vs. Hartley Jackson, Kosei Fujita, Ryohei Oiwa & Zack Sabre Jr.",6.17,5,,"Daiki Nagai, OSKAR, Taiji Ishimori & Yuto-Ice","Hartley Jackson, Kosei Fujita, Ryohei Oiwa & Zack Sabre Jr."
N7412,2025-12-19,NJPW,"EVIL, Ren Narita, SANADA & Yoshinobu Kanemaru vs. Satoshi Kojima, Shota Umino, Taichi & Yuya Uemura",4.33,5,,"EVIL, Ren Narita, SANADA & Yoshinobu Kanemaru","Satoshi Kojima, Shota Umino, Taichi & Yuya Uemura"
N7414,2025-12-19,NJPW,Hiromu Takahashi vs. Hiroshi Tanahashi,7.05,64,,Hiromu Takahashi,Hiroshi Tanahashi
N7411,2025-12-19,NJPW,"DOUKI, SHO & Yujiro Takahashi vs. El Desperado, Katsuya Murashima & Kuukai",,,,"DOUKI, SHO & Yujiro Takahashi","El Desperado, Katsuya Murashima & Kuukai"
N7402,2025-12-14,NJPW,"Daiki Nagai, OSKAR & Yuto-Ice vs. Hiroshi Tanahashi, Shota Umino & Yuya Uemura",6,5,3,"Daiki Nagai, OSKAR & Yuto-Ice","Hiroshi Tanahashi, Shota Umino & Yuya Uemura"
N7401,2025-12-14,NJPW,"EVIL, Ren Narita & SANADA vs. Master Wato, Toru Yano & YOH",3.83,5,2.75,"EVIL, Ren Narita & SANADA","Master Wato, Toru Yano & YOH"
N7403,2025-12-14,NJPW,El Phantasmo vs. Hartley Jackson,5.08,23,2.25,El Phantasmo,Hartley Jackson
N7407,2025-12-14,NJPW,"Chase Owens, DOUKI & Yujiro Takahashi vs. Drilla Moloney, Shingo Takagi & Taiji Ishimori",,,1.75,"Chase Owens, DOUKI & Yujiro Takahashi","Drilla Moloney, Shingo Takagi & Taiji Ishimori"
N7405,2025-12-14,NJPW,Gabe Kidd & Yota Tsuji vs. Ryohei Oiwa & Zack Sabre Jr.,8.31,108,4.5,Gabe Kidd & Yota Tsuji,Ryohei Oiwa & Zack Sabre Jr.
N7406,2025-12-14,NJPW,"Alex Zayne, Lance Archer, Masatora Yasuda, Satoshi Kojima & Taichi vs. Hirooki Goto, Katsuya Murashima, Oleg Boltin, Tatsuya Matsumoto & YOSHI-HASHI",,,2,"Alex Zayne, Lance Archer, Masatora Yasuda, Satoshi Kojima & Taichi","Hirooki Goto, Katsuya Murashima, Oleg Boltin, Tatsuya Matsumoto & YOSHI-HASHI"
N7408,2025-12-14,NJPW,"Don Fale, SHO & Yoshinobu Kanemaru vs. El Desperado, Shoma Kato & Shuji Ishikawa",,,1.25,"Don Fale, SHO & Yoshinobu Kanemaru","El Desperado, Shoma Kato & Shuji Ishikawa"
N7404,2025-12-14,NJPW,Callum Newman & Great-O-Khan vs. David Finlay & Hiromu Takahashi,6.08,23,2,Callum Newman & Great-O-Khan,David Finlay & Hiromu Takahashi
N7400,2025-12-12,NJPW,"El Desperado, Shoma Kato & Shuji Ishikawa vs. Ren Narita, SANADA & Yoshinobu Kanemaru",,,,"El Desperado, Shoma Kato & Shuji Ishikawa","Ren Narita, SANADA & Yoshinobu Kanemaru"
N7399,2025-12-12,NJPW,Gabe Kidd & Yota Tsuji vs. OSKAR & Yuto-Ice,7.54,58,3.75,Gabe Kidd & Yota Tsuji,OSKAR & Yuto-Ice
N7398,2025-12-12,NJPW,"El Phantasmo, Satoshi Kojima & Taichi vs. Hartley Jackson, Ryohei Oiwa & Zack Sabre Jr.",6.17,5,,"El Phantasmo, Satoshi Kojima & Taichi","Hartley Jackson, Ryohei Oiwa & Zack Sabre Jr."
N7397,2025-12-12,NJPW,Alex Zayne & Lance Archer vs. Oleg Boltin & Zane Jay,,,,Alex Zayne & Lance Archer,Oleg Boltin & Zane Jay
N7396,2025-12-12,NJPW,"Chase Owens, Dick Togo II, Don Fale, EVIL & Yujiro Takahashi vs. Hiroshi Tanahashi, Katsuya Murashima, Shota Umino, Toru Yano & Yuya Uemura",,,,"Chase Owens, Dick Togo II, Don Fale, EVIL & Yujiro Takahashi","Hiroshi Tanahashi, Katsuya Murashima, Shota Umino, Toru Yano & Yuya Uemura"
N7390,2025-12-10,NJPW,Hirooki Goto & YOSHI-HASHI vs. Ryohei Oiwa & Zack Sabre Jr.,8.49,122,4.5,Hirooki Goto & YOSHI-HASHI,Ryohei Oiwa & Zack Sabre Jr.
N7391,2025-12-10,NJPW,"Daiki Nagai, Drilla Moloney, Gabe Kidd, Shingo Takagi & Yota Tsuji vs. David Finlay, Gedo, Hiromu Takahashi, OSKAR & Yuto-Ice",7.24,28,,"Daiki Nagai, Drilla Moloney, Gabe Kidd, Shingo Takagi & Yota Tsuji","David Finlay, Gedo, Hiromu Takahashi, OSKAR & Yuto-Ice"
N7394,2025-12-10,NJPW,"Alex Zayne, Lance Archer & Zane Jay vs. Callum Newman, Great-O-Khan & Jakob Austin Young",,,,"Alex Zayne, Lance Archer & Zane Jay","Callum Newman, Great-O-Khan & Jakob Austin Young"
N7393,2025-12-10,NJPW,"Dick Togo II, Don Fale & EVIL vs. Hiroshi Tanahashi, Oleg Boltin & Toru Yano",,,,"Dick Togo II, Don Fale & EVIL","Hiroshi Tanahashi, Oleg Boltin & Toru Yano"
N7395,2025-12-10,NJPW,Chase Owens & Yujiro Takahashi vs. Katsuya Murashima & Shoma Kato,,,,Chase Owens & Yujiro Takahashi,Katsuya Murashima & Shoma Kato
N7392,2025-12-10,NJPW,"El Phantasmo, Shota Umino & Yuya Uemura vs. Ren Narita, SANADA & Yoshinobu Kanemaru",,,,"El Phantasmo, Shota Umino & Yuya Uemura","Ren Narita, SANADA & Yoshinobu Kanemaru"
N7389,2025-12-09,NJPW,El Phantasmo & Hiroshi Tanahashi vs. Ren Narita & SANADA,4.08,23,,El Phantasmo & Hiroshi Tanahashi,Ren Narita & SANADA
N7388,2025-12-09,NJPW,OSKAR & Yuto-Ice vs. Shota Umino & Yuya Uemura,7.88,50,,OSKAR & Yuto-Ice,Shota Umino & Yuya Uemura
N7387,2025-12-09,NJPW,Callum Newman & Great-O-Khan vs. David Finlay & Hiromu Takahashi,7.59,43,,Callum Newman & Great-O-Khan,David Finlay & Hiromu Takahashi
N7386,2025-12-09,NJPW,"Chase Owens, Yoshinobu Kanemaru & Yujiro Takahashi vs. Masatora Yasuda, Satoshi Kojima & Taichi",,,,"Chase Owens, Yoshinobu Kanemaru & Yujiro Takahashi","Masatora Yasuda, Satoshi Kojima & Taichi"
N7385,2025-12-09,NJPW,"Dick Togo II, Don Fale & EVIL vs. Katsuya Murashima, Oleg Boltin & Toru Yano",,,,"Dick Togo II, Don Fale & EVIL","Katsuya Murashima, Oleg Boltin & Toru Yano"
N7384,2025-12-09,NJPW,"Daiki Nagai, Drilla Moloney & Shingo Takagi vs. El Desperado, Shoma Kato & Shuji Ishikawa",,,,"Daiki Nagai, Drilla Moloney & Shingo Takagi","El Desperado, Shoma Kato & Shuji Ishikawa"
N7376,2025-12-08,NJPW,"El Phantasmo, Hiroshi Tanahashi & Katsuya Murashima vs. Ren Narita, SANADA & Yoshinobu Kanemaru",,,,"El Phantasmo, Hiroshi Tanahashi & Katsuya Murashima","Ren Narita, SANADA & Yoshinobu Kanemaru"
N7377,2025-12-08,NJPW,"Callum Newman, Great-O-Khan & Jakob Austin Young vs. David Finlay, Gedo & Hiromu Takahashi",,,,"Callum Newman, Great-O-Khan & Jakob Austin Young","David Finlay, Gedo & Hiromu Takahashi"
N7378,2025-12-08,NJPW,"Daiki Nagai, OSKAR & Yuto-Ice vs. Shoma Kato, Shota Umino & Yuya Uemura",,,,"Daiki Nagai, OSKAR & Yuto-Ice","Shoma Kato, Shota Umino & Yuya Uemura"
N7379,2025-12-08,NJPW,"Alex Zayne, Lance Archer & Zane Jay vs. Hartley Jackson, Ryohei Oiwa & Zack Sabre Jr.",,,,"Alex Zayne, Lance Archer & Zane Jay","Hartley Jackson, Ryohei Oiwa & Zack Sabre Jr."
N7381,2025-12-08,NJPW,Gabe Kidd & Yota Tsuji vs. Satoshi Kojima & Taichi,6.83,28,,Gabe Kidd & Yota Tsuji,Satoshi Kojima & Taichi
