EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
WWE-5970,2025-12-30,WWE,WWE Live Holiday Tour,WWE Live Holiday Tour 2025,Non-Televised,"Fort Myers, Florida, USA",Fort Myers,Florida,USA
WWE-5969,2025-12-30,WWE,WWE Live Holiday Tour,WWE Live Holiday Tour 2025,Non-Televised,"Detroit, Michigan, USA",Detroit,Michigan,USA
WWE-5968,2025-12-29,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1701,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-5967,2025-12-29,WWE,WWE Main Event,WWE Main Event #692,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-5966,2025-12-28,WWE,WWE Live Holiday Tour,WWE Live Holiday Tour 2025,Non-Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA
WWE-5965,2025-12-28,WWE,WWE Live Holiday Tour,WWE Live Holiday Tour 2025,Non-Televised,"Rochester, New York, USA",Rochester,New York,USA
WWE-5964,2025-12-27,WWE,WWE Main Event,WWE Main Event #691 - Best Of 2025: Part Two,Televised,USA,USA,USA,USA
WWE-5963,2025-12-27,WWE,WWE Live Holiday Tour,WWE Live Holiday Tour 2025,Non-Televised,"Tampa, Florida, USA",Tampa,Florida,USA
WWE-5962,2025-12-27,WWE,WWE Live Holiday Tour,WWE Live Holiday Tour 2025,Non-Televised,"Pittsburgh, Pennsylvania, USA",Pittsburgh,Pennsylvania,USA
WWE-5961,2025-12-26,WWE,WWE Live Holiday Tour,WWE Live Holiday Tour 2025,Non-Televised,"Baltimore, Maryland, USA",Baltimore,Maryland,USA
WWE-5960,2025-12-20,WWE,WWE Main Event,WWE Main Event #690 - Best Of 2025: Part One,Televised,USA,USA,USA,USA
WWE-5959,2025-12-20,WWE,WWE NXT Live,WWE NXT Live,Non-Televised,"Dade City, Florida, USA",Dade City,Florida,USA
WWE-5958,2025-12-19,WWE,WWE NXT Live,WWE NXT Live,Non-Televised,"Fort Pierce, Florida, USA",Fort Pierce,Florida,USA
WWE-5957,2025-12-19,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1700,Televised,"Grand Rapids, Michigan, USA",Grand Rapids,Michigan,USA
WWE-5956,2025-12-19,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1375,Televised,"Grand Rapids, Michigan, USA",Grand Rapids,Michigan,USA
WWE-5955,2025-12-17,WWE,WWE NXT,WWE NXT #818 - NXT Year-End Awards 2025,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-5954,2025-12-17,WWE,WWE NXT,WWE NXT #817,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-5953,2025-12-16,WWE,WWE NXT,WWE NXT #816,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-5952,2025-12-15,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1699,Televised,"Hershey, Pennsylvania, USA",Hershey,Pennsylvania,USA
WWE-5951,2025-12-15,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1374,Televised,"Hershey, Pennsylvania, USA",Hershey,Pennsylvania,USA
WWE-5950,2025-12-14,WWE,WWE NXT Live,WWE NXT Live,Non-Televised,"Macon, Georgia, USA",Macon,Georgia,USA
WWE-5949,2025-12-13,WWE,WWE NXT Live,WWE NXT Live,Non-Televised,"Columbia, South Carolina, USA",Columbia,South Carolina,USA
