MatchID,Date,Promotion,Match,CageMatchRating,CageMatchRatingVotes,WONStarRating,Opponent1,Opponent2
W8102,2025-12-29,WWE,Nikki Bella vs. Raquel Rodriguez vs. Stephanie Vaquer,6.49,117,,Nikki Bella,"Raquel Rodriguez, Stephanie Vaquer,"
W8101,2025-12-29,WWE,Austin Theory vs. Rey Mysterio,4.85,92,,Austin Theory,Rey Mysterio
W8100,2025-12-29,WWE,Bravo Americano vs. Joaquin Wilde,6.07,13,,Bravo Americano,Joaquin Wilde
W8099,2025-12-29,WWE,AJ Styles & Dragon Lee   vs. Jey Uso & Jimmy Uso,7.63,152,4.5,AJ Styles & Dragon Lee,Jey Uso & Jimmy Uso
W8098,2025-12-19,WWE,Bayley vs. Roxanne Perez,5.99,98,,Bayley,Roxanne Perez
W8097,2025-12-19,WWE,Je'Von Evans vs. Rayo Americano,6.4,99,,Je'Von Evans,Rayo Americano
W8096,2025-12-19,WWE,Charlotte Flair vs. Lash Legend,5.32,94,,Charlotte Flair,Lash Legend
W8095,2025-12-19,WWE,Joe Hendry vs. The Miz,5.37,99,,Joe Hendry,The Miz
W8094,2025-12-19,WWE,Asuka vs. Rhea Ripley,7.17,120,3.75,Asuka,Rhea Ripley
W8093,2025-12-19,WWE,Austin Theory & Bronson Reed vs. CM Punk & Rey Mysterio,6.55,106,3.75,Austin Theory & Bronson Reed,CM Punk & Rey Mysterio
W8092,2025-12-19,WWE,Carmelo Hayes vs. Ilja Dragunov,8.85,254,4.5,Carmelo Hayes,Ilja Dragunov
W8091,2025-12-17,WWE,Chelsea Green vs. Sol Ruca,6.16,62,,Chelsea Green,Sol Ruca
W8090,2025-12-17,WWE,Jacy Jayne vs. Wren Sinclair,5.84,43,,Jacy Jayne,Wren Sinclair
W8089,2025-12-17,WWE,Ethan Page vs. Moose,6.39,43,,Ethan Page,Moose
W8088,2025-12-17,WWE,Je'Von Evans vs. Ricky Saints,6.83,51,,Je'Von Evans,Ricky Saints
W8087,2025-12-17,WWE,Arianna Grace & Channing Lorenzo vs. Shiloh Hill & Skylar Raye,7.03,69,,Arianna Grace & Channing Lorenzo,Shiloh Hill & Skylar Raye
W8086,2025-12-17,WWE,Izzi Dame vs. Lola Vice,5.9,57,,Izzi Dame,Lola Vice
W8085,2025-12-16,WWE,Blake Monroe vs. Thea Hail,3.35,78,,Blake Monroe,Thea Hail
W8084,2025-12-16,WWE,Bronco Nima & Lucien Price vs. Hank Walker & Tank Ledger,6.08,49,,Bronco Nima & Lucien Price,Hank Walker & Tank Ledger
W8083,2025-12-16,WWE,Dion Lennox vs. Joe Hendry vs. Leon Slater vs. Myles Borne,7.41,68,4,Dion Lennox,"Joe Hendry, Leon Slater, Myles Borne,"
W8082,2025-12-16,WWE,Fallon Henley & Lainey Reid vs. Kendal Grey & Wren Sinclair,6.78,62,3.5,Fallon Henley & Lainey Reid,Kendal Grey & Wren Sinclair
W8081,2025-12-15,WWE,Jey Uso & Jimmy Uso vs. Kofi Kingston & Xavier Woods,5.87,108,,Jey Uso & Jimmy Uso,Kofi Kingston & Xavier Woods
W8080,2025-12-15,WWE,Ivy Nile vs. Maxxine Dupri,5.5,108,,Ivy Nile,Maxxine Dupri
W8079,2025-12-15,WWE,Logan Paul vs. Rey Mysterio,4.77,91,,Logan Paul,Rey Mysterio
W8078,2025-12-15,WWE,Raquel Rodriguez vs. Stephanie Vaquer,4.48,101,,Raquel Rodriguez,Stephanie Vaquer
W8077,2025-12-15,WWE,Asuka & Kairi Sane vs. Lash Legend & Nia Jax,5.18,75,,Asuka & Kairi Sane,Lash Legend & Nia Jax
W8076,2025-12-15,WWE,Dexter Lumis & Joe Gacy vs. JC Mateo & Tonga Loa,4.63,81,,Dexter Lumis & Joe Gacy,JC Mateo & Tonga Loa
W8075,2025-12-15,WWE,Carmelo Hayes & Ilja Dragunov vs. Johnny Gargano & Tommaso Ciampa,6.81,92,,Carmelo Hayes & Ilja Dragunov,Johnny Gargano & Tommaso Ciampa
W8074,2025-12-13,WWE,Bayley vs. Sol Ruca,6.78,389,3.75,Bayley,Sol Ruca
W8073,2025-12-13,WWE,Gunther vs. John Cena,8.2,682,4.5,Gunther,John Cena
W8072,2025-12-13,WWE,AJ Styles & Dragon Lee   vs. Je'Von Evans & Leon Slater,7.08,415,3.5,AJ Styles & Dragon Lee,Je'Von Evans & Leon Slater
W8071,2025-12-13,WWE,Cody Rhodes vs. Oba Femi,5.52,411,3.25,Cody Rhodes,Oba Femi
W8070,2025-12-12,WWE,Je'Von Evans vs. The Miz,6.19,93,,Je'Von Evans,The Miz
W8069,2025-12-12,WWE,Aleister Black & Zelina vs. Damian Priest & Rhea Ripley,3.47,102,,Aleister Black & Zelina,Damian Priest & Rhea Ripley
W8068,2025-12-12,WWE,Alex Shelley vs. Angel,4.87,14,,Alex Shelley,Angel
W8067,2025-12-12,WWE,Ilja Dragunov vs. Tommaso Ciampa,8.62,248,4.5,Ilja Dragunov,Tommaso Ciampa
W8066,2025-12-09,WWE,Jordynne Grace vs. Kelani Jordan,7.38,87,3.5,Jordynne Grace,Kelani Jordan
W8065,2025-12-09,WWE,Je'Von Evans vs. Oba Femi,8.34,157,4.5,Je'Von Evans,Oba Femi
W8064,2025-12-08,WWE,Lyra Valkyria vs. Roxanne Perez,6.47,98,,Lyra Valkyria,Roxanne Perez
W8063,2025-12-08,WWE,LA Knight vs. Logan Paul,5.33,88,,LA Knight,Logan Paul
W8062,2025-12-08,WWE,AJ Styles & Dragon Lee   vs. Erik & Ivar,6.45,108,,AJ Styles & Dragon Lee,Erik & Ivar
W8061,2025-12-08,WWE,Akira Tozawa vs. Rayo Americano,5.33,8,,Akira Tozawa,Rayo Americano
W8060,2025-12-08,WWE,IYO SKY vs. Kairi Sane,7.16,134,3.75,IYO SKY,Kairi Sane
W8059,2025-12-06,WWE,Dion Lennox vs. Je'Von Evans vs. Joe Hendry vs. Leon Slater vs. Myles Borne,8.2,247,4.25,Dion Lennox,"Je'Von Evans, Joe Hendry, Leon Slater,Myles Borne,"
W8058,2025-12-06,WWE,Ethan Page vs. Mr. Iguana,6.16,191,3,Ethan Page,Mr. Iguana
W8057,2025-12-06,WWE,Jordynne Grace vs. Kelani Jordan vs. Kendal Grey vs. Lola Vice vs. Sol Ruca,8.81,292,4.5,Jordynne Grace,"Kelani Jordan, Kendal Grey, Lola Vice,Sol Ruca,"
